ID	ouverture	angle	angle	ouverture
579	101.6	68.12644861	57.8	86.50106383
580	101.7	68.20033493	57.9	86.65172044
581	101.8	68.25945767	58	86.78385639
582	101.9	68.31859254	58.1	86.91628328
583	102	68.39252817	58.2	87.04900138
584	102.1	68.45169026	58.3	87.18201097
585	102.2	68.51086441	58.4	87.31531232
586	102.3	68.57005061	58.5	87.4489057
587	102.4	68.64405024	58.6	87.58279139
588	102.5	68.70326342	58.7	87.71696965
589	102.6	68.76248857	58.8	87.85144075
590	102.7	68.82172566	58.9	87.98620495
591	102.8	68.89578877	59	88.12126253
592	102.9	68.95505263	59.1	88.25661374
593	103	69.01432835	59.2	88.39225885
594	103.1	69.07361591	59.3	88.52819812
595	103.2	69.14774197	59.4	88.6644318
596	103.3	69.20705607	59.5	88.80096016
597	103.4	69.26638194	59.6	88.93778345
598	103.5	69.32571955	59.7	89.07490192
599	103.6	69.39990803	59.8	89.21231583
600	103.7	69.45927197	59.9	89.35002544
601	103.8	69.51864756	60	89.48803098
602	103.9	69.5780348	60.1	89.62633271
603	104	69.63743365	60.2	89.76493088
604	104.1	69.69684409	60.3	89.90382572
605	104.2	69.77112341	60.4	90.0430175
606	104.3	69.83055985	60.5	90.18250644
607	104.4	69.8900078	60.6	90.32229279
608	104.5	69.94946725	60.7	90.46237679
609	104.6	70.00893816	60.8	90.60275867
610	104.7	70.0832929	60.9	90.74343868
611	104.8	70.14278953	61	90.88441704
612	104.9	70.20229756	61.1	91.02569399
613	105	70.26181695	61.2	91.16726976
614	105.1	70.32134769	61.3	91.30914458
615	105.2	70.38088975	61.4	91.45131868
616	105.3	70.44044311	61.5	91.59379228
617	105.4	70.50000775	61.6	91.7365656
618	105.5	70.57447936	61.7	91.87963888
619	105.6	70.63406928	61.8	92.02301233
620	105.7	70.6936704	61.9	92.16668617
621	105.8	70.75328269	62	92.31066062
622	105.9	70.81290613	62.1	92.43430671
623	106	70.8725407	62.2	92.57884
624	106.1	70.93218637	62.3	92.72367451
625	106.2	70.99184313	62.4	92.86881045
626	106.3	71.05151094	62.5	93.01424803
627	106.4	71.12611122	62.6	93.15998745
628	106.5	71.18580382	62.7	93.30602893
629	106.6	71.24550741	62.8	93.45237266
630	106.7	71.30522195	62.9	93.59901885
631	106.8	71.36494743	63	93.74596769
632	106.9	71.42468381	63.1	93.89321939
633	107	71.48443109	63.2	94.04077414
634	107.1	71.54418922	63.3	94.16749099
635	107.2	71.60395819	63.4	94.31560906
636	107.3	71.66373798	63.5	94.46403073
637	107.4	71.72352856	63.6	94.61275619
638	107.5	71.78332991	63.7	94.76178562
639	107.6	71.84314201	63.8	94.91111921
640	107.7	71.90296482	63.9	95.06075715
641	107.8	71.96279834	64	95.21069961
642	107.9	72.02264252	64.1	95.36094677
643	108	72.08249736	64.2	95.4899727
